STOPID,STOP_NAME,CLEVERID,DIRECTION,TIMEPOINT,ROUTES_SER,ROUTES_COU,LATITUDE,LONGITUDE,MODE,SHELTER,STOP_TYPE,ON_AVWK_FY,OFF_AVWK_F,ON_AVWK__1,OFF_AVWK_1,AVGWKDY_DE
"E00175","26TH ST AT PENN AVE FS (SPRING WAY)",2593,"Inbound","N","54, 88, 91",3,40.454635,-79.97817,"Bus","No Shelter","Bus Stop",34.531579605,43.9005226981,"35","44",0.03
"E00180","28TH ST AT LIBERTY AVE",2161,"Inbound","N","54",1,40.456288,-79.974651,"Bus","No Shelter","Bus Stop",1.30475941405,10.2168897178,"1","10",0.03
"E00270","32ND ST AT SPRING WAY",2410,"Outbound","N","54, 88, 91",3,40.460347,-79.969436,"Bus","No Shelter","Bus Stop",13.1844781741,33.4108653695,"13","33",0.04
"E00420","40TH ST AT BUTLER ST",1199,"Outbound","N","93",1,40.468655,-79.962115,"Bus","No Shelter","Bus Stop",1.03824916593,28.6826883875,"1","29",0.05
"E00430","40TH ST AT DAVIDSON ST FS",20106,"Outbound","N","93",1,40.467676,-79.960929,"Bus","No Shelter","Bus Stop",0.16342056817,12.5886025923,"0","13",0
"E00500","40TH ST OPP DAVIDSON ST",1149,"Both","N","64, 93",2,40.467585,-79.961076,"Bus","No Shelter","Bus Stop",33.4780947974,3.55641106414,"33","4",0.05
"E00750","4TH ST AT COREY AVE",12590,"Outbound","N","59",1,40.408242,-79.867215,"Bus","No Shelter","Bus Stop",4.84292392239,7.04433021098,"5","7",0.01
"E00910","FIFTH AVE AT AIKEN AVE",3145,"Both","N","28X, 71B, 71D",3,40.448529,-79.934107,"Bus","No Shelter","Bus Stop",165.045775652,13.1008917811,"165","13",0.02
"E00920","FIFTH AVE AT AMBERSON AVE",1166,"Both","N","28X, 71B, 71D",3,40.447751,-79.938742,"Bus","No Shelter","Bus Stop",23.8912711744,5.07161429308,"24","5",0.01
"E00950","FIFTH AVE AT BEECHWOOD BLVD",8318,"Both","N","28X, 71D",2,40.45348,-79.915595,"Bus","No Shelter","Bus Stop",2.98443592664,77.2409049461,"3","77",0
"E00970","FIFTH AVE AT BELLEFIELD AVE",1171,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.446704,-79.951806,"Bus","No Shelter","Bus Stop",172.989679593,304.927138529,"173","305",0.21
"E00975","FIFTH AVE AT BELLEFIELD AVE",3254,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.446296,-79.952021,"Bus","No Shelter","Bus Stop",322.776493722,243.727128648,"323","244",0.45
"E00980","FIFTH AVE AT BELLEFONTE ST",3144,"Both","N","28X, 71B, 71D",3,40.449028,-79.932476,"Bus","No Shelter","Bus Stop",273.894460603,21.7928977715,"274","22",0.09
"E01000","FIFTH AVE AT BIGELOW BLVD (PITT)",34,"Both","22120","28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 93, P3",16,40.444618,-79.954707,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",458.229162434,912.162268658,"458","912",0.61
"E01010","FIFTH AVE AT BIGELOW BLVD (PITT)",2567,"Both","00871","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.444299,-79.95484,"Bus","No Shelter","Bus Stop",1057.55674578,359.244383915,"1058","359",1.07
"E01030","FIFTH AVE AT BIRMINGHAM BRIDGE",3252,"Outbound","N","71A, 71B, 71C, 71D",4,40.43769,-79.973041,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",20.2925862126,8.77363904263,"20","9",0.02
"E01040","FIFTH AVE AT BRENHAM ST FS",18165,"Both","N","54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83",14,40.436479,-79.968584,"Bus","No Shelter","Bus Stop",3.50097711251,5.550501233,"4","6",0.01
"E01050","FIFTH AVE AT CHESTERFIELD RD",38,"Both","N","28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, 93, P3",18,40.439525,-79.961689,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",1002.62167412,1092.91088491,"1003","1093",2.75
"E01090","FIFTH AVE AT COLLEGE ST",3141,"Both","N","28X, 64, 71B, 71D",4,40.451317,-79.925679,"Bus","No Shelter","Bus Stop",136.234209378,17.6587179105,"136","18",0.04
"E01130","FIFTH AVE AT CRAFT AVE (CARLOW UNIV)",2561,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.437698,-79.964185,"Bus","No Shelter","Bus Stop",177.157753762,144.423076563,"177","144",0.34
"E01140","FIFTH AVE AT CRAIG ST",1170,"Inbound","00017","71B, 71D, 75, P3",4,40.447078,-79.948856,"Bus","No Shelter","Bus Stop",124.885249925,288.643734188,"125","289",0.15
"E01150","FIFTH AVE AT CRAIG ST NS",1174,"Outbound","20035","58, 71B, 71D, 75, P3",5,40.446795,-79.949505,"Bus","No Shelter","Bus Stop",302.165791991,171.716071249,"302","172",0.36
"E01180","FIFTH AVE AT DESOTO ST",5128,"Inbound","02159","58, 81, 83, 93, P3",5,40.442326,-79.957877,"Bus","No Shelter","Bus Stop",236.198281976,500.599825637,"236","501",0.54
"E01190","FIFTH AVE AT DINWIDDIE ST",3151,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438399,-79.980575,"Bus","No Shelter","Bus Stop",100.070314613,93.0053729336,"100","93",0.24
"E01210","FIFTH AVE AT MCKEE PL FS",17671,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.440634,-79.959848,"Bus","No Shelter","Bus Stop",713.394312126,400.802466021,"713","401",0.97
"E01225","FIFTH AVE AT HALKET ST",2562,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.438955,-79.962128,"Bus","No Shelter","Bus Stop",418.925992436,310.862483051,"419","311",0.61
"E01230","FIFTH AVE AT HAMILTON AVE",14573,"Inbound","N","P10",1,40.457435,-79.909041,"Bus","No Shelter","Bus Stop",1.24802670861,0.343670772345,"1","0",0
"E01260","FIFTH AVE AT HIGHLAND AVE",8312,"Both","00019","28X, 64, 71D",3,40.451996,-79.923883,"Bus","No Shelter","Bus Stop",71.602424525,33.3417817665,"72","33",0.02
"E01310","FIFTH AVE AT KIRKPATRICK ST FS",18164,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.437895,-79.973003,"Bus","No Shelter","Bus Stop",24.4363289271,19.5379830373,"24","20",0.05
"E01330","FIFTH AVE AT MAGEE ST",3156,"Inbound","N","61A, 61B, 61C, 61D, 65, 67, 69, 71A, 71B, 71C, 71D",11,40.438709,-79.988102,"Bus","City of Pittsburgh","Bus Stop with Non-PAAC Shelter",63.9237532998,70.9664844039,"64","71",0.22
"E01335","FIFTH AVE AT MEYRAN AVE",2564,"Both","N","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.441102,-79.959195,"Bus","No Shelter","Bus Stop",697.88942078,355.907981639,"698","356",1.26
"E01350","FIFTH AVE AT MARYLAND AVE",3142,"Both","N","28X, 64, 71B, 71D",4,40.450614,-79.927359,"Bus","No Shelter","Bus Stop",153.098649542,17.9236193263,"153","18",0
"E01360","FIFTH AVE AT OAKLAND AVE",2565,"Both","00671","54, 71A, 71B, 71C, 71D, 75, 93, P3",8,40.442077,-79.957855,"Bus","No Shelter","Bus Stop",1402.4179464,656.361529665,"1402","656",1.58
"E01370","FIFTH AVE OPP MCPHERSON ST FS",20108,"Both","00818","28X, 71D, 88",3,40.455534,-79.910929,"Bus","PAAC","Bus Stop with PAAC Shelter",118.599249767,22.7226454865,"119","23",0.05
"E01380","FIFTH AVE AT MCPHERSON ST",20016,"Outbound","20071","71D",1,40.455609,-79.910532,"Bus","No Shelter","Bus Stop",3.57508364781,17.1829711581,"4","17",0.01
"E01400","FIFTH AVE AT #2410 (ACTA PROGRAM)",2557,"Both","N","54, 71A, 71B, 71C, 71D, 75",6,40.436766,-79.970267,"Bus","No Shelter","Bus Stop",6.71641360369,11.6614495294,"7","12",0
"E01410","FIFTH AVE AT MOREWOOD AVE",1167,"Inbound","N","71B, 71D",2,40.447468,-79.942352,"Bus","No Shelter","Bus Stop",51.7610629959,537.207696014,"52","537",0.07
"E01420","FIFTH AVE AT MOREWOOD AVE",1177,"Outbound","N","58, 71B, 71D",3,40.447283,-79.942673,"Bus","No Shelter","Bus Stop",441.33133862,55.1691747921,"441","55",0.08
"E01440","FIFTH AVE AT MOULTRIE ST",3251,"Outbound","N","71A, 71B, 71C, 71D",4,40.437902,-79.974559,"Bus","No Shelter","Bus Stop",12.3584786899,7.06674618767,"12","7",0.02
"E01450","FIFTH AVE AT MOULTRIE ST FS",3147,"Inbound","N","61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",10,40.438097,-79.97441,"Bus","No Shelter","Bus Stop",14.6698853339,22.5516618569,"15","23",0.1
"E01460","FIFTH AVE AT NEGLEY AVE",3143,"Both","N","28X, 71B, 71D",3,40.449884,-79.92959,"Bus","No Shelter","Bus Stop",224.513818323,27.3936012495,"225","27",0.16
"E01470","FIFTH AVE AT NEGLEY AVE",3257,"Both","N","28X, 71B, 71D",3,40.449721,-79.9297,"Bus","No Shelter","Bus Stop",30.0386757052,220.62148613,"30","221",0.16
"E01480","FIFTH AVE AT NEVILLE ST",1169,"Inbound","N","71B, 71D",2,40.447164,-79.947203,"Bus","No Shelter","Bus Stop",62.4557208032,70.6025652976,"62","71",0.07
"E01500","FIFTH AVE AT NEVILLE ST",1175,"Outbound","N","58, 71B, 71D",3,40.446993,-79.947425,"Bus","No Shelter","Bus Stop",77.7249058841,60.708019902,"78","61",0.02
